env;ALT;LAT;LON
E001;1518;-0.983;37.067
E002;1664;-1.517;36.85
E003;2009;-1.367;36.633
E004;1518;-0.983;37.067
E005;1664;-1.517;36.85
E006;1284;-1.9;37.383
E007;1518;-0.983;37.067
E008;1566;-0.001;35.959
E009;1905;0.984;35.223
E010;116;-4.17;39.57
E0100;1199;-14.747;34.368
E0101;777;-15.351;36.791
E0102;1058;1.842;32.021
E0102;1058;1.842;32.021
E0102;1058;1.842;32.021
E0103;1187;-15.298;28.303
E0104;1194;-13.509;28.155
E0105;1143;-15.336;28.526
E0106;1106;-15.392;28.583
E0107;1375;-10.167;31.233
E0108;1196;-14.441;28.443
E0109;1294;-17.48;31.03
E011;1593;-1.54;37.23
E0110;513;-20.47;32.14
E0110;513;-20.47;32.14
E0111;1223;-17.069;31.111
E0112;1362;-17.65;31.236
E0113;1532;-17.717;31.083
E0114;1466;-17.733;30.883
E0115;1394;-17.643;30.4
E0116;1133;-18.894;32.602
E0117;410;9.876;3.141
E0118;353;10.899;1.98
E0119;196;8.126;2.123
E012;345;13.1;-9.497
E0120;140;7.372;1.756
E0121;168;7.959;1.889
E0122;249;9.424;13.758
E0123;1726;7.5;36.5
E0124;2411;11.817;39.633
E0125;1663;8.317;35.583
E0126;1736;9.1;37.15
E0127;1076;11.3;36.4
E0128;1130;10.05;34.983
E0129;241;7.389;-1.368
E013;398;12.353;-5.501
E0130;166;7.332;-1.417
E0131;178;9.395;-0.992
E0132;2165;-0.344;35.943
E0133;1515;0.6;34.623
E0134;1370;-0.811;37.144
E0135;1148;-0.675;37.356
E0136;417;11.467;5.643
E0137;506;-14.27;34.577
E0138;639;-15.22;35.492
E0139;1127;-13.403;33.627
E014;1613;-1.54;37.205
E0140;1022;-12.938;33.463
E0141;204;7.496;3.898
E0142;485;11.975;8.559
E0143;289;12.859;15.61
E0144;1798;-8.921;33.524
E0145;1040;-9.398;33.627
E0146;685;3.464;11.599
E0147;1025;5.484;10.518
E0148;214;10.871;-0.175
E0149;1515;0.599;34.622
E015;609;-13.667;34.25
E0150;847;-3.5;38.4
E0151;1370;-0.811;37.144
E0152;1247;0.016;34.446
E0153;1679;-0.052;36.11
E0154;1129;-14.177;33.8
E0155;1243;-12.117;33.421
E0156;1145;-13.979;33.645
E0157;605;-13.673;34.266
E0158;1159;-15.926;35.067
E0159;1171;-13.68;32.734
E016;1141;-13.983;33.633
E0160;1118;-13.947;33.679
E0161;1108;-13.407;33.621
E0162;1037;-12.943;33.467
E0163;1199;-14.748;34.367
E0164;777;-15.35;36.789
