COUNTRY;YEAR;codenv;codgen;loc;SEASON;rep;check;PL_EMERG_COUNT;PL_EMERG_PCT;FLW_DAYS;FLW_CL;PUB_CL;NDM;LOD;PODDING_MAT;Pod_Shattering;PH_R8;W100G;GY;R6_BB_Sev;R6_BP_Sev;R6_BS_Sev;R6_BTS_Sev;R6_CLB_Sev;R6_DM_Sev;R6_MLS_Sev;R6_FELS_Sev;R6_RLB_Sev;R6_RUST_Sev;R6_RUST_RRT;R6_Others_Sev;PROT;OIL;SOWING;HARVEST;LAT;LON;ELEV;RAINFED;SOURCE;COMPANY;index;gen;env
Malawi;2017;E016;G365;L011;2;1;1;0;0;46;NA;NA;109;1;0;1;0;10;1479.62;1;1;0;0;0;0;0;1;0;1;0;1;41.26;21.87;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;112;G155;E001
Malawi;2017;E016;G234;L011;2;1;0;0;0;46;NA;NA;118;3;0;1;0;10;1743.16;2;1;0;0;0;0;0;1;0;2;0;1;42.14;21.42;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;113;G118;E001
Malawi;2017;E016;G196;L011;2;1;0;0;0;59;NA;NA;123;3;0;2;0;15;2349.15;3;1;0;0;0;0;0;1;0;1;0;1;41.13;20.22;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;114;G102;E001
Malawi;2017;E016;G212;L011;2;1;0;0;0;53;NA;NA;120;1;0;1;0;15;718.91;2;1;0;0;0;0;0;2;0;3;0;2;41.7;22.73;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;115;G112;E001
Malawi;2017;E016;G182;L011;2;1;0;0;0;46;NA;NA;107;2;0;1;0;10;2242.48;1;1;0;0;0;0;0;1;0;1;0;1;41.09;20.32;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;116;G095;E001
Malawi;2017;E016;G056;L011;2;1;0;0;0;47;NA;NA;115;1;0;2;0;15;1889.34;1;1;0;0;0;0;0;1;0;1;0;1;38.43;22.7;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;ZamSeed;Private;117;G022;E001
Malawi;2017;E016;G246;L011;2;1;0;0;0;52;NA;NA;122;2;0;1;0;10;2158.66;2;1;0;0;0;0;0;1;0;2;0;1;44.63;20.93;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;118;G125;E001
Malawi;2017;E016;G059;L011;2;1;0;0;0;56;NA;NA;118;1;0;1;0;15;1567.23;1;1;0;0;0;0;0;1;0;1;0;1;42.07;19.88;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;119;G025;E001
Malawi;2017;E016;G061;L011;2;1;0;0;0;53;NA;NA;120;1;0;1;0;15;1083.39;1;1;0;0;0;0;0;1;0;2;0;1;40.93;21.21;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;120;G027;E001
Malawi;2017;E016;G210;L011;2;1;0;0;0;46;NA;NA;111;1;0;1;0;15;1695.5;1;1;0;0;0;0;0;1;0;3;0;1;38.63;23.89;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;121;G111;E001
Malawi;2017;E016;G031;L011;2;1;0;0;0;66;NA;NA;133;2;0;1;0;15;554.23;2;1;0;0;0;0;0;1;0;2;0;1;45.65;17.83;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;122;G012;E001
Malawi;2017;E016;G063;L011;2;1;0;0;0;53;NA;NA;119;2;0;1;0;15;2067.96;1;1;0;0;0;0;0;1;0;1;0;1;41.57;20.38;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;123;G029;E001
Malawi;2017;E016;G206;L011;2;1;0;0;0;46;NA;NA;118;1;0;1;0;15;1818.18;2;1;0;0;0;0;0;1;0;2;0;1;38.54;22.49;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;124;G108;E001
Malawi;2017;E016;G188;L011;2;1;0;0;0;46;NA;NA;107;1;0;1;0;20;1520.69;1;1;0;0;0;0;0;1;0;1;0;1;39.03;21.69;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;125;G098;E001
Malawi;2017;E016;G208;L011;2;1;0;0;0;53;NA;NA;116;1;0;1;0;15;1616.51;2;1;0;0;0;0;0;1;0;2;0;1;41.81;21.47;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;126;G110;E001
Malawi;2017;E016;G062;L011;2;1;0;0;0;55;NA;NA;121;4;0;1;0;15;1870.57;1;1;0;0;0;0;0;2;0;1;0;2;44.26;20.66;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;127;G028;E001
Malawi;2017;E016;G183;L011;2;1;0;0;0;59;NA;NA;122;4;0;1;0;15;1794.11;1;1;0;0;0;0;0;2;0;1;0;1;44.29;19.29;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;128;G096;E001
Malawi;2017;E016;G156;L011;2;1;0;0;0;70;NA;NA;132;1;0;1;0;15;417.7;2;1;0;0;0;0;0;2;0;1;0;1;48.11;15.41;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;129;G091;E001
Malawi;2017;E016;G070;L011;2;1;0;0;0;56;NA;NA;124;2;0;1;0;10;2550.51;1;1;0;0;0;0;0;2;0;4;0;1;42.09;20.49;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;MRISyngenta Synergy Agribusiness Zambia Limited;Private;130;G034;E001
Malawi;2017;E016;G199;L011;2;1;0;0;0;53;NA;NA;121;4;0;1;0;15;2267.21;1;1;0;0;0;0;0;1;0;2;0;1;44.42;20.85;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;131;G104;E001
Malawi;2017;E016;G003;L011;2;1;0;0;0;66;NA;NA;129;3;0;1;0;10;875.74;1;1;0;0;0;0;0;2;0;3;0;2;44.11;18.58;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;134;G002;E001
Malawi;2017;E016;G089;L011;2;1;0;0;0;65;NA;NA;132;2;0;1;0;10;1933.93;1;1;0;0;0;0;0;1;0;2;0;1;47.3;17;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;135;G044;E001
Malawi;2017;E016;G074;L011;2;1;1;0;0;46;NA;NA;120;1;0;1;0;15;1455.67;1;1;0;0;0;0;0;1;0;1;0;1;42.55;21.66;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;136;G037;E001
Malawi;2017;E016;G125;L011;2;1;0;0;0;69;NA;NA;136;1;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;137;G069;E001
Malawi;2017;E016;G186;L011;2;1;0;0;0;47;NA;NA;121;2;0;1;0;10;2013.71;1;1;0;0;0;0;0;2;0;2;0;2;43.02;19.93;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;138;G097;E001
Malawi;2017;E016;G143;L011;2;1;0;0;0;47;NA;NA;120;1;0;1;0;15;1987.55;3;1;0;0;0;0;0;2;0;3;0;1;39.72;24;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;139;G080;E001
Malawi;2017;E016;G034;L011;2;1;0;0;0;53;NA;NA;119;1;0;1;0;10;1773.77;3;1;0;0;0;0;0;1;0;3;0;1;41.26;21.95;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;ZamSeed;Private;140;G015;E001
