env;bdod_0-5cm_mean_30s;bdod_15-30cm_mean_30s;bdod_30-60cm_mean_30s;bdod_5-15cm_mean_30s;cfvo_0-5cm_mean_30s;cfvo_15-30cm_mean_30s;cfvo_30-60cm_mean_30s;cfvo_5-15cm_mean_30s;clay_15-30cm_mean_30s;clay_30-60cm_mean_30s;clay_5-15cm_mean_30s;nitrogen_0-5cm_mean_30s;nitrogen_15-30cm_mean_30s;nitrogen_30-60cm_mean_30s;nitrogen_5-15cm_mean_30s;ocd_0-5cm_mean_30s;ocd_15-30cm_mean_30s;ocd_30-60cm_mean_30s;ocd_5-15cm_mean_30s;phh2o_0-5cm_mean_30s;phh2o_15-30cm_mean_30s;phh2o_30-60cm_mean_30s;phh2o_5-15cm_mean_30s;sand_0-5cm_mean_30s;sand_15-30cm_mean_30s;sand_30-60cm_mean_30s;sand_5-15cm_mean_30s;SBIO2_Mean_Diurnal_Range_5_15cm;SBIO3_Isothermality_5_15cm;SBIO4_Temperature_Seasonality_5_15cm;silt_0-5cm_mean_30s;silt_15-30cm_mean_30s;silt_30-60cm_mean_30s;silt_5-15cm_mean_30s;soc_0-5cm_mean_30s;soc_15-30cm_mean_30s;soc_30-60cm_mean_30s;soc_5-15cm_mean_30s;soilT_1_5_15cm;soilT_10_5_15cm;soilT_11_5_15cm;soilT_12_5_15cm;soilT_2_5_15cm;soilT_3_5_15cm
E001;1.30;1.30;1.30;1.30;3.00;4.00;7.00;3.00;65.00;66.00;64.00;1.70;1.40;1.10;1.70;3.20;2.00;1.30;2.50;6.00;5.90;6.00;6.00;22.00;21.00;21.00;22.00;3.70;35.90;226.20;15.00;14.00;13.00;15.00;28.80;16.20;12.40;20.70;221.00;201.00;214.00;212.00;218.00;223.00
E002;1.20;1.20;1.30;1.20;7.00;8.00;13.00;7.00;46.00;48.00;44.00;1.80;1.20;0.90;1.30;2.80;2.00;1.20;2.30;6.80;6.80;6.90;6.80;40.00;38.00;37.00;40.00;4.00;40.80;235.10;18.00;16.00;15.00;16.00;22.30;14.40;11.20;16.10;219.00;212.00;207.00;210.00;216.00;223.00
E003;1.20;1.20;1.20;1.20;12.00;16.00;21.00;13.00;41.00;45.00;38.00;3.00;1.50;1.20;1.90;3.80;2.40;1.40;3.00;6.50;6.50;6.50;6.50;31.00;30.00;28.00;32.00;3.50;32.60;235.80;30.00;29.00;27.00;30.00;41.20;26.30;16.50;25.90;188.00;175.00;177.00;179.00;194.00;183.00
E004;1.30;1.30;1.30;1.30;3.00;4.00;7.00;3.00;65.00;66.00;64.00;1.70;1.40;1.10;1.70;3.20;2.00;1.30;2.50;6.00;5.90;6.00;6.00;22.00;21.00;21.00;22.00;3.70;35.90;226.20;15.00;14.00;13.00;15.00;28.80;16.20;12.40;20.70;221.00;201.00;214.00;212.00;218.00;223.00
E005;1.20;1.20;1.30;1.20;7.00;8.00;13.00;7.00;46.00;48.00;44.00;1.80;1.20;0.90;1.30;2.80;2.00;1.20;2.30;6.80;6.80;6.90;6.80;40.00;38.00;37.00;40.00;4.00;40.80;235.10;18.00;16.00;15.00;16.00;22.30;14.40;11.20;16.10;219.00;212.00;207.00;210.00;216.00;223.00
E006;1.20;1.30;1.30;1.20;4.00;6.00;7.00;4.00;40.00;45.00;37.00;1.40;1.10;0.70;1.30;2.70;1.80;1.00;2.40;6.30;6.30;6.30;6.30;47.00;44.00;40.00;46.00;2.80;34.00;186.90;17.00;16.00;15.00;17.00;19.00;9.30;8.70;14.40;234.00;229.00;231.00;234.00;234.00;249.00
E007;1.30;1.30;1.30;1.30;3.00;4.00;7.00;3.00;65.00;66.00;64.00;1.70;1.40;1.10;1.70;3.20;2.00;1.30;2.50;6.00;5.90;6.00;6.00;22.00;21.00;21.00;22.00;3.70;35.90;226.20;15.00;14.00;13.00;15.00;28.80;16.20;12.40;20.70;221.00;201.00;214.00;212.00;218.00;223.00
E008;1.20;1.30;1.30;1.30;7.00;9.00;9.00;8.00;38.00;38.00;37.00;2.90;1.40;1.00;1.80;3.30;2.00;1.20;2.60;6.70;6.60;6.70;6.60;34.00;35.00;35.00;35.00;4.30;40.10;238.00;28.00;27.00;27.00;28.00;31.90;14.80;10.10;21.60;233.00;218.00;229.00;226.00;226.00;240.00
E009;1.20;1.20;1.20;1.20;9.00;11.00;13.00;9.00;45.00;50.00;43.00;3.20;1.90;1.40;2.00;4.00;2.40;1.40;2.90;6.10;6.10;6.20;6.10;31.00;32.00;29.00;33.00;3.50;32.20;271.80;24.00;23.00;21.00;24.00;40.40;18.30;13.10;25.50;203.00;192.00;212.00;198.00;208.00;214.00
E010;1.30;1.40;1.50;1.40;4.00;5.00;8.00;5.00;28.00;33.00;24.00;1.90;1.00;0.60;1.10;3.10;1.40;0.80;2.00;5.70;5.70;5.70;5.70;60.00;56.00;52.00;59.00;-1.10;-23.00;228.50;17.00;16.00;15.00;17.00;29.40;11.90;7.70;14.30;289.00;261.00;276.00;285.00;287.00;291.00
E011;1.30;1.30;1.30;1.30;6.00;7.00;10.00;7.00;39.00;44.00;36.00;1.70;1.20;1.00;1.40;2.70;1.60;1.20;2.30;6.70;6.70;6.60;6.70;48.00;45.00;42.00;48.00;2.60;30.30;209.40;17.00;15.00;14.00;16.00;21.30;11.60;8.40;16.50;217.00;210.00;209.00;216.00;216.00;235.00
