env;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;T2M;T2MDEW;T2M_MAX;T2M_MIN;WS2M
E001;31.02;20.19;1.74;67.81;19.32;12.09;29.14;11.54;2.75
E002;30.91;21.25;1.22;64.10;20.56;12.24;30.70;12.33;3.07
E003;30.91;21.25;1.22;64.10;20.56;12.24;30.70;12.33;3.07
E004;31.02;20.19;1.74;67.81;19.32;12.09;29.14;11.54;2.75
E005;30.91;21.25;1.22;64.10;20.56;12.24;30.70;12.33;3.07
E006;32.27;20.59;1.46;65.60;22.10;14.08;32.28;13.98;1.79
E007;31.02;20.19;1.74;67.81;19.32;12.09;29.14;11.54;2.75
E008;29.94;21.00;3.52;70.46;18.38;11.88;27.16;10.46;2.01
E009;30.85;21.95;4.72;76.23;17.30;12.45;24.92;10.01;1.84
E010;35.12;20.66;2.25;73.13;26.40;20.56;34.17;21.32;3.31
E0100;31.76;20.68;2.71;73.16;19.28;13.44;29.25;10.69;1.56
E0101;32.43;20.17;4.18;73.79;21.97;16.05;31.96;13.83;1.89
E0102;34.07;21.13;3.26;68.63;24.42;17.35;33.48;17.11;1.56
E0103;30.77;21.02;1.95;57.26;22.33;11.55;33.56;13.22;2.76
E0104;30.54;21.06;2.70;60.99;21.82;12.12;32.13;12.95;2.55
E0105;30.77;21.02;1.74;57.39;22.64;12.11;33.83;13.37;2.49
E0106;30.77;21.02;1.74;57.39;22.64;12.11;33.83;13.37;2.49
E0107;30.72;21.22;2.90;68.45;20.64;13.35;29.79;12.25;2.45
E0108;30.81;21.06;2.32;61.94;21.67;12.42;32.27;12.69;2.50
E0109;30.47;21.44;2.06;60.68;20.34;10.77;32.05;10.10;2.37
E011;32.27;20.59;1.56;66.33;21.50;13.74;31.61;13.27;1.68
E0110;31.53;20.73;1.24;53.54;24.27;12.45;37.43;14.24;2.38
E0111;30.47;21.44;1.97;61.91;20.77;11.65;32.30;11.05;2.53
E0112;30.47;21.44;2.06;60.68;20.34;10.77;32.05;10.10;2.37
E0113;30.47;21.44;2.06;60.68;20.34;10.77;32.05;10.10;2.37
E0114;30.08;21.53;2.21;60.06;20.24;10.44;31.66;10.31;2.56
E0115;30.08;21.53;2.21;60.06;20.24;10.44;31.66;10.31;2.56
E0116;29.31;21.12;2.97;67.39;19.82;12.19;31.67;10.83;1.85
E0117;34.75;18.49;2.81;61.98;26.58;16.71;36.44;18.59;2.06
E0118;34.19;19.40;3.04;58.34;26.81;15.69;36.60;18.50;2.09
E0119;35.13;17.66;3.42;74.47;26.61;20.73;34.92;19.85;1.73
E012;33.88;20.72;3.60;52.75;27.18;12.98;36.71;18.34;2.03
E0120;35.44;17.65;2.96;75.41;26.84;21.24;35.21;20.40;1.89
E0121;35.44;17.65;3.42;74.47;26.61;20.73;34.92;19.85;1.73
E0122;34.72;20.68;2.38;50.03;28.22;12.76;37.99;19.75;2.16
E0123;30.08;19.65;6.81;82.42;17.45;14.00;24.32;11.15;0.25
