env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E001;19.69;20.83;18.05;1005.00;235.00;15.00;84.94;488.00;51.00;387.00;60.00;11.80;76.13;113.07;28.00;12.50;15.50;20.72;18.30
E002;19.70;21.12;17.92;669.00;155.00;10.00;78.79;325.00;36.00;257.00;43.00;12.33;72.50;126.21;28.80;11.80;17.00;20.60;18.18
E003;18.44;19.83;16.52;828.00;176.00;15.00;73.32;403.00;56.00;182.00;69.00;12.04;72.54;134.07;27.50;10.90;16.60;19.23;16.83
E004;19.69;20.83;18.05;1005.00;235.00;15.00;84.94;488.00;51.00;387.00;60.00;11.80;76.13;113.07;28.00;12.50;15.50;20.72;18.30
E005;19.70;21.12;17.92;669.00;155.00;10.00;78.79;325.00;36.00;257.00;43.00;12.33;72.50;126.21;28.80;11.80;17.00;20.60;18.18
E006;20.68;22.15;18.65;668.00;159.00;1.00;91.49;295.00;8.00;263.00;14.00;10.79;69.62;138.80;28.90;13.40;15.50;21.18;18.98
E007;19.69;20.83;18.05;1005.00;235.00;15.00;84.94;488.00;51.00;387.00;60.00;11.80;76.13;113.07;28.00;12.50;15.50;20.72;18.30
E008;19.58;20.37;18.80;945.00;140.00;26.00;39.68;317.00;126.00;252.00;269.00;15.07;83.70;62.32;29.10;11.10;18.00;20.28;19.88
E009;17.96;19.03;16.95;991.00;151.00;18.00;53.55;385.00;87.00;227.00;366.00;13.38;80.57;83.15;27.10;10.50;16.60;16.97;18.50
E010;25.62;27.25;23.72;1157.00;258.00;19.00;71.23;561.00;114.00;114.00;210.00;8.34;65.68;148.97;32.20;19.50;12.70;25.50;27.25
E011;19.28;20.72;17.32;630.00;147.00;2.00;92.34;272.00;9.00;250.00;12.00;11.64;71.42;135.10;27.90;11.60;16.30;20.25;17.67
E012;27.17;30.92;24.10;877.00;258.00;0.00;127.14;640.00;0.00;48.00;3.00;13.36;55.89;280.19;39.20;15.30;23.90;26.18;24.32
