"env" "LAT" "LON" "SOWING" "HARVEST"
"E001" -0.983 37.067 "2015-11-19" "2016-04-17"
"E002" -1.517 36.85 "2015-11-29" "2016-04-21"
"E003" -1.367 36.633 "2015-11-23" "2016-04-24"
"E004" -0.983 37.067 "2016-04-18" "2016-09-15"
"E005" -1.517 36.85 "2016-05-06" "2016-10-03"
"E006" -1.9 37.383 "2016-11-15" "2017-04-14"
"E007" -0.983 37.067 "2016-12-01" "2017-04-30"
"E008" -0.001 35.959 "2017-04-01" "2017-10-30"
"E009" 0.984 35.223 "2017-04-01" "2017-10-30"
"E010" -4.17 39.57 "2017-04-20" "2017-08-28"
"E011" -1.54 37.23 "2017-04-11" "2017-09-26"
"E012" 13.1 -9.497 "2017-07-19" "2017-11-06"
"E013" 12.353 -5.501 "2017-07-21" "2017-11-11"
"E014" -1.54 37.205 "2017-10-30" "2018-04-10"
"E015" -13.667 34.25 "2017-12-19" "2018-05-29"
"E016" -13.983 33.633 "2017-12-18" "2018-05-09"
"E017" -9.926 33.909 "2018-02-01" "2018-06-01"
"E018" -10.933 33.683 "2018-12-21" "2019-05-25"
"E018" -10.933 33.683 "2017-12-21" "2018-05-25"
"E019" -12.95 33.683 "2018-01-15" "2018-05-11"
"E020" -12.933 33.467 "2017-12-21" "2018-05-25"
"E021" -13.417 33.617 "2018-01-11" "2018-05-15"
"E022" -13.672 32.659 "2018-07-25" "2018-12-24"
"E023" -13.419 33.615 "2018-07-05" "2019-01-22"
"E024" -13.419 33.615 "2018-07-19" "2019-01-22"
"E025" -14.264 34.57 "2018-07-13" "2018-11-23"
"E026" 5.8 10.933 "2018-10-06" "2019-03-08"
"E027" 3.767 11.8 "2018-09-21" "2018-12-21"
"E028" 3.85 11.45 "2018-09-14" "2018-12-20"
"E029" -9.926 33.909 "2019-01-03" "2019-05-07"
"E030" -13.973 33.517 "2018-12-19" "2019-05-02"
"E031" -13.69 34.25 "2018-12-14" "2019-05-10"
"E032" -15.922 35.073 "2018-12-13" "2019-05-25"
"E033" -13.637 32.488 "2018-12-14" "2019-05-10"
"E034" -14.217 33.7 "2018-12-07" "2019-04-27"
"E035" -13.419 33.614 "2018-12-17" "2019-04-28"
"E036" -12.942 33.466 "2018-12-21" "2019-04-26"
"E037" -14.748 34.366 "2018-12-30" "2019-05-17"
"E038" -15.35 36.791 "2018-12-31" "2019-05-17"
"E039" -18.955 33.267 "2018-12-31" "2019-06-13"
"E040" -2.483 29.767 "2018-10-17" "2019-03-14"
"E041" -2.205 30.241 "2018-10-23" "2019-03-22"
"E042" -1.407 30.287 "2018-10-24" "2019-03-06"
"E043" 1.857 32.244 "2018-09-20" "2019-01-08"
"E044" 0.443 33.216 "2018-10-17" "2019-02-01"
"E045" 0.21 30.114 "2018-09-21" "2019-01-08"
"E046" 2.311 32.913 "2018-09-26" "2019-01-11"
"E047" -17.48 31.03 "2018-11-26" "2019-05-17"
"E048" -18.19 29.52 "2018-12-12" "2019-05-29"
"E049" -20.47 32.14 "2018-12-09" "2019-05-17"
"E050" -17.16 31.37 "2018-11-30" "2019-05-17"
"E051" -18.894 32.606 "2018-12-13" "2019-05-15"
"E052" -17.546 31.558 "2018-12-07" "2019-04-11"
"E053" -17.643 30.4 "2018-12-04" "2019-04-26"
"E054" -17.717 31.083 "2018-11-20" "2019-05-20"
"E055" -17.65 31.236 "2018-11-28" "2019-05-08"
"E056" -17.733 30.883 "2018-11-30" "2019-05-03"
"E057" 9.84 3.095 "2019-07-05" "2019-11-04"
"E058" 10.9 1.922 "2019-07-07" "2019-11-10"
"E059" 8.126 2.123 "2019-07-09" "2019-11-16"
"E060" 7.372 1.756 "2019-07-11" "2019-11-08"
"E061" 7.943 1.871 "2019-07-10" "2019-11-05"
"E062" 7.767 36 "2019-06-28" "2019-11-30"
"E063" 11.3 36.4 "2019-07-09" "2019-11-10"
"E064" 9.386 -1 "2019-07-22" "2019-11-30"
"E065" 9.986 -2.467 "2019-07-17" "2019-11-06"
"E066" 7.383 -1.35 "2019-08-01" "2019-11-24"
"E067" 6.717 -1.6 "2019-08-08" "2019-12-18"
"E068" 0.595 34.472 "2019-08-01" "2020-01-10"
"E069" -2.375 38.01 "2019-08-03" "2019-12-13"
"E070" -1.086 36.818 "2019-08-30" "2020-03-24"
"E071" -0.343 35.944 "2019-07-03" "2020-03-05"
"E072" 11.467 5.643 "2019-07-06" "2019-11-11"
"E073" 13.117 -9.467 "2019-07-14" "2019-11-06"
"E074" 12.586 -5.705 "2019-07-10" "2019-11-11"
"E075" -14.264 34.57 "2019-07-14" "2019-12-03"
"E076" -15.221 35.491 "2019-07-15" "2019-12-15"
"E077" -13.672 32.66 "2019-06-28" "2019-12-27"
"E078" -13.251 33.369 "2019-06-25" "2020-01-11"
